N = 1854, комбинаций: 12
N = 2323, комбинаций: 6
N = 2870, комбинаций: 6
N = 3501, комбинаций: 6
N = 4222, комбинаций: 6
N = 5039, комбинаций: 6
N = 5958, комбинаций: 6
N = 6985, комбинаций: 6
N = 8126, комбинаций: 6
N = 9387, комбинаций: 6
N = 10774, комбинаций: 6
N = 12293, комбинаций: 6
N = 13950, комбинаций: 6
N = 15751, комбинаций: 12
N = 17702, комбинаций: 6
N = 19809, комбинаций: 6
N = 22078, комбинаций: 6
N = 24515, комбинаций: 6
N = 27126, комбинаций: 6
N = 29917, комбинаций: 12
N = 32894, комбинаций: 6
N = 36063, комбинаций: 6
N = 39430, комбинаций: 9
N = 43001, комбинаций: 6
N = 46782, комбинаций: 6
N = 433, комбинаций: 3
N = 560, комбинаций: 6
N = 946, комбинаций: 6
N = 1217, комбинаций: 6
N = 1548, комбинаций: 6
N = 1945, комбинаций: 12
N = 2414, комбинаций: 9
N = 2961, комбинаций: 6
N = 3592, комбинаций: 12
N = 4313, комбинаций: 6
N = 5130, комбинаций: 12
N = 6049, комбинаций: 6
N = 7076, комбинаций: 6
N = 8217, комбинаций: 12
N = 9478, комбинаций: 6
N = 10865, комбинаций: 6
N = 12384, комбинаций: 18
N = 14041, комбинаций: 6
N = 15842, комбинаций: 6
N = 17793, комбинаций: 6
N = 19900, комбинаций: 6
N = 22169, комбинаций: 6
N = 24606, комбинаций: 6
N = 27217, комбинаций: 6
N = 30008, комбинаций: 6
N = 32985, комбинаций: 6
N = 36154, комбинаций: 6
N = 39521, комбинаций: 6
N = 43092, комбинаций: 6
N = 46873, комбинаций: 12
N = 687, комбинаций: 3
N = 856, комбинаций: 6
N = 1073, комбинаций: 6
N = 1344, комбинаций: 6
N = 1675, комбинаций: 6
N = 2072, комбинаций: 12
N = 2541, комбинаций: 6
N = 3088, комбинаций: 6
N = 3719, комбинаций: 6
N = 4440, комбинаций: 6
N = 5257, комбинаций: 6
N = 6176, комбинаций: 6
N = 7203, комбинаций: 6
N = 8344, комбинаций: 6
N = 9605, комбинаций: 6
N = 10992, комбинаций: 6
N = 12511, комбинаций: 6
N = 14168, комбинаций: 6
N = 15969, комбинаций: 6
N = 20027, комбинаций: 6
N = 22296, комбинаций: 9
N = 24733, комбинаций: 6
N = 27344, комбинаций: 6
N = 30135, комбинаций: 6
N = 33112, комбинаций: 12
N = 36281, комбинаций: 6
N = 39648, комбинаций: 6
N = 43219, комбинаций: 6
N = 47000, комбинаций: 6
N = 1025, комбинаций: 3
N = 1242, комбинаций: 6
N = 1513, комбинаций: 6
N = 1844, комбинаций: 6
N = 2241, комбинаций: 12
N = 2710, комбинаций: 6
N = 3257, комбинаций: 6
N = 3888, комбинаций: 6
N = 4609, комбинаций: 6
N = 5426, комбинаций: 6
N = 6345, комбинаций: 6
N = 7372, комбинаций: 6
N = 8513, комбинаций: 6
N = 9774, комбинаций: 6
N = 11161, комбинаций: 6
N = 12680, комбинаций: 6
N = 14337, комбинаций: 6
N = 16138, комбинаций: 6
N = 18089, комбинаций: 6
N = 20196, комбинаций: 12
N = 22465, комбинаций: 12
N = 24902, комбинаций: 6
N = 27513, комбинаций: 6
